Timestamp, LeftSensor (cm), RightSensor (cm)
6/9/2018 16:37:28,99,98
6/9/2018 16:37:38,99,97
6/9/2018 16:37:49,99,98
6/9/2018 16:37:59,99,98
6/9/2018 16:38:09,100,98
6/9/2018 16:38:19,99,98
6/9/2018 16:38:29,99,98
6/9/2018 16:38:39,99,97
6/9/2018 16:38:49,99,98
6/9/2018 16:38:59,100,98
6/9/2018 16:39:09,99,98
6/9/2018 16:39:19,99,98
6/9/2018 16:39:29,99,97
6/9/2018 16:39:39,99,97
6/9/2018 16:39:49,99,98
6/9/2018 16:39:59,100,98
6/9/2018 16:40:09,100,98
6/9/2018 16:40:19,99,98
6/9/2018 16:40:29,99,98
6/9/2018 16:40:39,99,98
6/9/2018 16:40:49,99,98
6/9/2018 16:40:59,99,98
6/9/2018 16:41:09,99,98
6/9/2018 16:41:19,99,98
6/9/2018 16:41:29,99,98
6/9/2018 16:41:39,99,98
6/9/2018 16:41:49,99,98
6/9/2018 16:42:00,99,98
6/9/2018 16:42:10,99,98
6/9/2018 16:42:20,100,98
6/9/2018 16:42:30,99,98
6/9/2018 16:42:40,99,97
6/9/2018 16:42:50,100,98
6/9/2018 16:43:00,99,97
6/9/2018 16:43:10,99,98
6/9/2018 16:43:20,99,98
6/9/2018 16:43:30,99,98
6/9/2018 16:43:40,99,97
6/9/2018 16:43:50,99,98
6/9/2018 16:44:00,100,97
6/9/2018 16:44:10,99,98
6/9/2018 16:44:20,99,98
6/9/2018 16:44:30,99,98
6/9/2018 16:44:40,99,98
6/9/2018 16:44:50,99,98
6/9/2018 16:45:00,99,98
6/9/2018 16:45:10,99,98
6/9/2018 16:45:20,99,98
6/9/2018 16:45:30,99,98
6/9/2018 16:45:40,99,97
6/9/2018 16:45:50,99,97
6/9/2018 16:46:00,99,97
6/9/2018 16:46:11,99,98
6/9/2018 16:46:21,99,98
6/9/2018 16:46:31,100,98
6/9/2018 16:46:41,100,98
6/9/2018 16:46:51,100,97
6/9/2018 16:47:01,100,98
6/9/2018 16:47:11,99,98
6/9/2018 16:47:21,99,98
6/9/2018 16:47:31,99,98
6/9/2018 16:47:41,99,98
6/9/2018 16:47:51,99,97
6/9/2018 16:48:01,99,97
6/9/2018 16:48:11,99,98
6/9/2018 16:48:21,99,97
6/9/2018 16:48:31,99,98
6/9/2018 16:48:41,99,98
6/9/2018 16:48:51,99,98
6/9/2018 16:49:01,99,97
6/9/2018 16:49:11,99,98
6/9/2018 16:49:21,99,97
6/9/2018 16:49:31,100,97
6/9/2018 16:49:41,99,98
6/9/2018 16:49:51,99,98
6/9/2018 16:50:01,99,98
6/9/2018 16:50:11,99,97
6/9/2018 16:50:22,100,98
6/9/2018 16:50:32,100,98
6/9/2018 16:50:42,99,97
6/9/2018 16:50:52,99,97
6/9/2018 16:51:02,99,98
6/9/2018 16:51:12,99,98
6/9/2018 16:51:22,99,97
6/9/2018 16:51:32,99,97
6/9/2018 16:51:42,100,98
6/9/2018 16:51:52,100,98
6/9/2018 16:52:02,100,97
6/9/2018 16:52:12,99,97
6/9/2018 16:52:22,99,98
6/9/2018 16:52:32,99,98
6/9/2018 16:52:42,99,97
6/9/2018 16:52:52,99,97
6/9/2018 16:53:02,100,97
6/9/2018 16:53:12,99,98
6/9/2018 16:53:22,99,97
6/9/2018 16:53:32,100,97
6/9/2018 16:53:42,99,97
6/9/2018 16:53:52,100,98
6/9/2018 16:54:02,99,97
6/9/2018 16:54:12,100,97
6/9/2018 16:54:23,99,98
6/9/2018 16:54:33,100,98
6/9/2018 16:54:43,99,98
6/9/2018 16:54:53,99,97
6/9/2018 16:55:03,99,97
6/9/2018 16:55:13,99,97
6/9/2018 16:55:23,99,98
6/9/2018 16:55:33,99,98
6/9/2018 16:55:43,99,98
6/9/2018 16:55:53,99,98
6/9/2018 16:56:03,99,98
6/9/2018 16:56:13,99,98
6/9/2018 16:56:23,100,97
6/9/2018 16:56:33,100,97
6/9/2018 16:56:43,99,98
6/9/2018 16:56:53,99,97
6/9/2018 16:57:03,99,98
6/9/2018 16:57:13,99,97
6/9/2018 16:57:23,99,98
6/9/2018 16:57:33,100,98
6/9/2018 16:57:43,100,98
6/9/2018 16:57:53,99,98
6/9/2018 16:58:03,99,98
6/9/2018 16:58:13,99,98
6/9/2018 16:58:23,99,97
6/9/2018 16:58:33,100,98
6/9/2018 16:58:44,99,98
6/9/2018 16:58:54,99,97
6/9/2018 16:59:04,99,97
6/9/2018 16:59:14,99,98
6/9/2018 16:59:24,100,98
6/9/2018 16:59:34,99,98
6/9/2018 16:59:44,99,98
6/9/2018 16:59:54,99,97
6/9/2018 17:00:04,99,97
6/9/2018 17:00:14,99,97
6/9/2018 17:00:24,99,97
6/9/2018 17:00:34,99,98
6/9/2018 17:00:44,99,98
6/9/2018 17:00:54,99,98
6/9/2018 17:01:04,100,98
6/9/2018 17:01:14,99,97
6/9/2018 17:01:24,99,97
6/9/2018 17:01:34,99,97
6/9/2018 17:01:44,99,97
6/9/2018 17:01:54,99,97
6/9/2018 17:02:04,99,97
6/9/2018 17:02:14,99,97
6/9/2018 17:02:24,99,97
6/9/2018 17:02:34,99,97
6/9/2018 17:02:44,99,97
6/9/2018 17:02:55,99,98
6/9/2018 17:03:05,99,97
6/9/2018 17:03:15,99,97
6/9/2018 17:03:25,99,97
6/9/2018 17:03:35,99,98
6/9/2018 17:03:45,99,98
6/9/2018 17:03:55,99,98
6/9/2018 17:04:05,99,97
6/9/2018 17:04:15,99,97
6/9/2018 17:04:25,100,97
6/9/2018 17:04:35,99,97
6/9/2018 17:04:45,99,97
6/9/2018 17:04:55,99,98
6/9/2018 17:05:05,99,98
6/9/2018 17:05:15,99,97
6/9/2018 17:05:25,99,98
6/9/2018 17:05:35,99,97
6/9/2018 17:05:45,99,98
6/9/2018 17:05:55,99,98
6/9/2018 17:06:05,100,98
6/9/2018 17:06:15,100,98
6/9/2018 17:06:25,99,97
6/9/2018 17:06:35,99,97
6/9/2018 17:06:45,100,97
6/9/2018 17:06:55,99,98
6/9/2018 17:07:05,99,98
6/9/2018 17:07:16,99,98
6/9/2018 17:07:26,99,98
6/9/2018 17:07:36,99,97
6/9/2018 17:07:46,99,98
6/9/2018 17:07:56,99,98
6/9/2018 17:08:06,99,98
6/9/2018 17:08:16,99,98
6/9/2018 17:08:26,99,97
6/9/2018 17:08:36,99,97
6/9/2018 17:08:46,99,98
6/9/2018 17:08:56,99,98
